stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
762012419,,Stortorvet,,59.9135510,10.7440810,,,0,
762012420,,Stortorvet,,59.9126700,10.7461100,,,0,
762012423,,Tinghuset,,59.9152650,10.7413630,,,0,
762012424,,Tinghuset,,59.9154670,10.7410340,,,0,
762012428,,Wessels plass,,59.9119580,10.7387570,,,0,
762012432,,Radisson Blu Scandinavia Hotel,,59.9185560,10.7336100,,,0,
762012433,,Radisson Blu Scandinavia Hotel,,59.9184150,10.7334420,,,0,
762012439,,Vippetangen Fiskehallen,,59.9033280,10.7406480,,,0,
762012440,,Vippetangen Fiskehallen,,59.9035340,10.7402300,,,0,
762012451,,Flaen,,59.9545360,10.8684230,,,0,
762012452,,Flaen,,59.9544830,10.8676140,,,0,
762012454,,Romsåsfoten,,59.9603500,10.8948110,,,0,
762012455,,Romsåsfoten,,59.9606930,10.8963540,,,0,
762012457,,Kalbakkveien,,59.9512710,10.8655880,,,0,
762012458,,Kalbakkveien,,59.9515840,10.8644600,,,0,
762012473,,Ammerud T-banestasjon,,59.9581770,10.8717380,,,0,
762012481,,Kalbakkstubben,,59.9508480,10.8663340,,,0,
762012482,,Kalbakkstubben,,59.9502720,10.8662840,,,0,
762012484,,Nedre Kalbakkvei,,59.9426380,10.8587120,,,0,
762012485,,Nedre Kalbakkvei,,59.9428630,10.8592430,,,0,
762012488,,Alundamveien,,59.9664380,10.8703110,,,0,
762012490,,Ammerudhellinga,,59.9624370,10.8724320,,,0,
762012492,,Ammerudlunden,,59.9606630,10.8721170,,,0,
762012494,,Bekkenstenveien,,59.9531630,10.8859660,,,0,
762012495,,Bekkenstenveien,,59.9531590,10.8861460,,,0,
762012497,,Breisjøgrenda,,59.9689940,10.8711180,,,0,
762012499,,Christoffer Hellums vei,,59.9480320,10.8741440,,,0,
762012501,,Emanuelfjell,,59.9668200,10.9001610,,,0,
762012503,,Falch-gården,,59.9475900,10.8774670,,,0,
762012505,,Gangtunnellen,,59.9622230,10.8968340,,,0,
762012507,,Grorud senter,,59.9617040,10.8822600,,,0,
762012509,,Grorudkrysset,,59.9597020,10.8865890,,,0,
762012510,,Grorudkrysset,,59.9599800,10.8853500,,,0,
762012511,,Grorudkrysset,,59.9594080,10.8864470,,,0,
762012514,,Grorudveien,,59.9526790,10.8854550,,,0,
762012516,,Grønlund,,59.9539530,10.8753740,,,0,
762012517,,Grønlund,,59.9538460,10.8746510,,,0,
762012519,,Hagelundveien,,59.9654050,10.8834550,,,0,
762012521,,Huken,,59.9716000,10.8741490,,,0,
762012523,,Lindab,,59.9467240,10.8702560,,,0,
762012525,,Lillomarka barnehage,,59.9703290,10.8764610,,,0,
762012527,,Nordlisvingen,,59.9514960,10.8845280,,,0,
762012528,,Nordlisvingen,,59.9510540,10.8840730,,,0,
762012530,,Nordtvetveien,,59.9522820,10.8703900,,,0,
762012531,,Nordtvetveien,,59.9523540,10.8702520,,,0,
762012533,,Orremyr,,59.9651490,10.8982740,,,0,
762012535,,Ravnkollbakken,,59.9670450,10.8899980,,,0,
762012537,,Ravnkollen,,59.9652100,10.8895890,,,0,
762012539,,Romsås senter,,59.9646610,10.8953620,,,0,
762012541,,Røverkollen,,59.9717860,10.8994430,,,0,
762012543,,Sagstuveien,,59.9540140,10.8805170,,,0,
762012544,,Sagstuveien,,59.9541740,10.8806150,,,0,
762012546,,Stanseveien,,59.9466590,10.8740660,,,0,
762012548,,Stanseveien,,59.9468800,10.8775170,,,0,
762012550,,Stålfjæra,,59.9496150,10.8822910,,,0,
762012551,,Stålfjæra,,59.9500500,10.8819570,,,0,
762012553,,Svarttjern,,59.9693030,10.9054810,,,0,
762012555,,Tine,,59.9452020,10.8684520,,,0,
762012556,,Tine,,59.9456860,10.8672260,,,0,
762012558,,Tiurleiken,,59.9629140,10.8901390,,,0,
762012560,,Øvre Svarttjern,,59.9718170,10.9043180,,,0,
762012562,,Skogstad,,59.9679790,10.8819350,,,0,
762012573,,Grorud stasjon,,59.9498250,10.8876520,,,0,
762012574,,Grorud stasjon,,59.9499440,10.8850670,,,0,
762012575,,Grorud stasjon,,59.9514200,10.8853840,,,0,
762012576,,Grorud stasjon,,59.9511950,10.8861050,,,0,
762012577,,Grorud stasjon,,59.9511570,10.8863170,,,0,
762012579,,Ammerud skole,,59.9644660,10.8718120,,,0,
762012581,,Grorud skole,,59.9584730,10.8826680,,,0,
762012582,,Grorud skole,,59.9581830,10.8828840,,,0,
762012584,,Romsås kirke,,59.9684300,10.8905250,,,0,
762012586,,Vestbyveien,,59.9527550,10.8906170,,,0,
762012587,,Vestbyveien,,59.9534070,10.8878600,,,0,
762012591,,Løren,,59.9303440,10.7931890,,,0,
762012592,,Løren,,59.9309620,10.7912720,,,0,
762012596,,Rosenhoff,,59.9304540,10.7783070,,,0,
762012597,,Rosenhoff,,59.9302060,10.7780960,,,0,
762012599,,Lørenvangen,,59.9324340,10.7985110,,,0,
762012600,,Lørenvangen,,59.9328160,10.7981910,,,0,
762012603,,Sinsenterrassen,,59.9343810,10.7794300,,,0,
762012604,,Sinsenterrassen,,59.9339570,10.7789600,,,0,
762012606,,Einars vei,,59.9245110,10.7887060,,,0,
762012607,,Einars vei,,59.9246600,10.7871220,,,0,
762012613,,Haslevangen,,59.9257130,10.7955520,,,0,
762012614,,Haslevangen,,59.9251400,10.7940180,,,0,
762012632,,Dælenenga,,59.9281690,10.7665360,,,0,
762012633,,Dælenenga,,59.9281880,10.7663940,,,0,
762012638,,Hausmanns gate,,59.9164050,10.7576470,,,0,
762012639,,Hausmanns gate,,59.9163060,10.7570150,,,0,
762012645,,Helgesens gate,,59.9213180,10.7750090,,,0,
762012646,,Helgesens gate,,59.9220050,10.7754040,,,0,
762012648,,Københavngata,,59.9290280,10.7694630,,,0,
762012649,,Københavngata,,59.9292910,10.7693690,,,0,
762012651,,Møllerveien,,59.9205740,10.7513370,,,0,
762012652,,Møllerveien,,59.9207880,10.7514730,,,0,
762012654,,Olaf Ryes plass,,59.9232250,10.7593310,,,0,
762012655,,Olaf Ryes plass,,59.9229160,10.7591350,,,0,
762012657,,Sannergata,,59.9283220,10.7591180,,,0,
762012658,,Sannergata,,59.9284320,10.7595530,,,0,
762012660,,Schous plass,,59.9208260,10.7594180,,,0,
762012661,,Schous plass,,59.9207310,10.7591990,,,0,
762012666,,Fjellhaug,,59.9304730,10.7847320,,,0,
762012667,,Fjellhaug,,59.9303860,10.7847270,,,0,
762012672,,Vogts gate,,59.9315410,10.7634400,,,0,
762012673,,Vogts gate,,59.9318660,10.7628840,,,0,
762012675,,Biermanns gate,,59.9302600,10.7611710,,,0,
762012676,,Biermanns gate,,59.9306300,10.7610840,,,0,
762012678,,Nybrua,,59.9190140,10.7594830,,,0,
762012679,,Nybrua,,59.9187890,10.7593340,,,0,
762012697,,Carl Berners plass T-banestasjon,,59.9257680,10.7790630,,,0,
762012703,,Snippen stasjon,,60.0240210,10.8100610,,,0,
762012705,,Tøyen stasjon,,59.9208370,10.7805850,,,0,
762012706,,Tøyen stasjon,,59.9192430,10.7804610,,,0,
762012707,,Tøyen stasjon,,59.9202000,10.7819090,,,0,
762012712,,Hasle kirke,,59.9217300,10.7858540,,,0,
762012713,,Hasle kirke,,59.9221610,10.7865040,,,0,
762012715,,Jakob kirke,,59.9181400,10.7535700,,,0,
762012717,,Lakkegata skole,,59.9206500,10.7686220,,,0,
